neo_id,name,absolute_magnitude,estimated_diameter_min,estimated_diameter_max,orbiting_body,relative_velocity,miss_distance,is_hazardous
3648875,(2013 TF6),21.66,0.123752784,0.276719637,Earth,47589.42833,71333477.48,FALSE
54016479,(2020 GU1),27,0.010581689,0.023661375,Earth,63690.10699,57941254.44,FALSE
54157354,(2021 JQ24),17.84,0.718712133,1.607089186,Earth,25364.36776,20907857.72,FALSE
54216178,(2021 VF1),22.68,0.077366861,0.17299756,Earth,24181.9662,49350834.35,FALSE
2302156,302156 (2001 SF286),19,0.421264611,0.941976306,Earth,64597.31935,70370805.38,FALSE
3541504,(2010 OF101),19.75,0.298232505,0.666868155,Earth,75667.2167,39432836.49,FALSE
3579077,(2011 SK68),27.63,0.007916897,0.017702719,Earth,50825.43667,35384622.31,FALSE
3653918,(2013 WV44),22.89,0.070235225,0.157050737,Earth,41021.23034,13965930.09,FALSE
3708363,(2015 BO509),19.2,0.384197891,0.859092601,Earth,87019.28035,36171000.67,FALSE
3759645,(2016 RP40),24.81,0.029010484,0.064869415,Earth,25246.20355,52383626.09,FALSE
54200438,(2021 SC2),24.73,0.030099202,0.067303861,Earth,46692.3574,10667741.92,FALSE
3508132,(2010 CC55),22.44,0.086408204,0.193214617,Earth,59323.53187,28695947.42,FALSE
3620863,(2012 XA133),20.96,0.170826395,0.381979432,Earth,54755.76324,66848942.12,TRUE
3729283,(2015 TK143),21.1,0.160160338,0.358129403,Earth,65375.79188,43858897.69,FALSE
3781905,(2017 SK17),21.29,0.146742183,0.328125497,Earth,60738.07835,42239148,FALSE
3789121,(2017 VW1),20.57,0.204434871,0.457130269,Earth,59567.57536,30010300.11,FALSE
54202331,(2021 TC1),25.34,0.022727673,0.050820622,Earth,14284.47256,18299247.91,FALSE
54236937,(2022 AO6),25.26,0.023580607,0.05272784,Earth,18154.61583,74308493.46,FALSE
2216523,216523 (2001 HY7),20.7,0.192555078,0.430566244,Earth,55597.18061,62618871.34,TRUE
3432675,(2008 UE1),23.98,0.042516252,0.095069231,Earth,50278.77182,64274332.78,FALSE
54051070,(2020 PN3),21.08,0.161642283,0.361443134,Earth,62662.25467,56933913.46,TRUE
54300826,(2022 QW36),22.07,0.102460148,0.229107855,Earth,68631.21428,40013374.37,FALSE
54382892,(2023 RC8),21.88,0.111829138,0.250057554,Earth,78597.78204,46380067.49,TRUE
3013045,(1998 HH49),21.38,0.140784543,0.314803809,Earth,63362.49682,15941544.44,TRUE
3754388,(2016 NB1),23.89,0.044315431,0.099092316,Earth,32621.65231,61524144.12,FALSE
3761747,(2016 UO41),24.4,0.035039264,0.078350176,Earth,78172.19069,39311454.87,FALSE
3764729,(2016 WD7),27.3,0.009216266,0.020608196,Earth,43957.16575,45456828.38,FALSE
3460325,(2009 KY1),23.7,0.048367649,0.108153351,Earth,23578.44428,47495255.13,FALSE
3560816,(2011 FR29),21.54,0.130784109,0.292442157,Earth,42600.0462,45494261.61,FALSE
3831063,(2018 SF3),25.31,0.023043847,0.051527608,Earth,19602.80392,10046624.83,FALSE
2667303,667303 (2011 FR29),21.55,0.13018321,0.291098508,Earth,42600.04622,45494261.67,FALSE
2401885,401885 (2001 RV17),20.42,0.219055911,0.489823908,Earth,31834.89473,17180728.69,FALSE
2459462,459462 (2013 AY52),19.95,0.271991277,0.608190985,Earth,45534.87011,58906312.86,FALSE
3787082,(2017 UA1),22.4,0.088014652,0.196806745,Earth,35693.3864,57768282.46,FALSE
3797899,(2018 BB5),24.4,0.035039264,0.078350176,Earth,58670.78828,24758978.95,FALSE
3827435,(2018 RD4),28.5,0.005303407,0.011858779,Earth,67579.11469,66834458.65,FALSE
3884016,(2019 UC9),23.78,0.046618144,0.104241338,Earth,35061.54512,30624185.1,FALSE
54013535,(2020 EC),19.43,0.345585074,0.772751717,Earth,61641.83775,34496532.98,FALSE
54317878,(2022 UD4),22.55,0.082140053,0.183670741,Earth,52692.17061,50034594.36,FALSE
2087024,87024 (2000 JS66),18.73,0.477040198,1.066694311,Earth,49654.59633,41869854.15,FALSE
3278078,(2005 JU81),21.79,0.11656146,0.260639347,Earth,80018.40424,63166712.23,TRUE
3359024,(2006 WB),22.8,0.073207399,0.163696721,Earth,54152.13317,53702899.36,FALSE
54319454,(2022 UD7),25.88,0.017723724,0.039631452,Earth,54844.99161,3349765.705,FALSE
54322884,(2022 UN24),22.22,0.095621373,0.213815891,Earth,85496.05277,55760861.66,FALSE
2190491,190491 (2000 FJ10),21.06,0.163137941,0.364787526,Earth,15613.79506,7917759.419,FALSE
3180147,(2004 HQ1),23.47,0.05377185,0.120237511,Earth,34924.72234,9944542.464,FALSE
3392084,(2007 VG),21.08,0.161642283,0.361443134,Earth,120765.4388,27153683.67,TRUE
3651199,(2013 TW135),20.56,0.2053785,0.459240286,Earth,61494.76052,54749844.48,FALSE
3729282,(2015 TL143),23.3,0.058150704,0.130028927,Earth,27300.48398,8873613.499,FALSE
3795124,(2017 YF7),23.6,0.050647146,0.113250461,Earth,10896.46182,42880603.31,FALSE
3879296,(2019 UO2),25.8,0.018388867,0.041118757,Earth,86711.31021,70011525.7,FALSE
54062082,(2020 TS4),27.9,0.006991252,0.015632915,Earth,27791.19777,18292839.99,FALSE
54087420,(2020 VL),25.12,0.025150984,0.056239309,Earth,13355.73012,8157617.778,FALSE
54209301,(2021 TJ14),24.62,0.031663213,0.070801096,Earth,22288.3093,26472747.63,FALSE
2204131,204131 (2003 YL),19.93,0.274507982,0.613818507,Earth,49142.83174,64871854.27,FALSE
2495615,495615 (2015 PQ291),17.7,0.766575574,1.714115092,Earth,80881.94862,46565949.95,FALSE
3292011,(2005 SD71),23.2,0.060891262,0.136157002,Earth,14464.37056,13317385.29,FALSE
3610025,(2012 TZ52),20.7,0.192555078,0.430566244,Earth,36050.20072,27470638.08,FALSE
3825517,(2018 NE),23.5,0.053034072,0.118587791,Earth,66148.69806,60884684.88,FALSE
3835500,(2018 UX1),24.08,0.040602706,0.09079041,Earth,45849.04891,35059209.17,FALSE
54399994,(2023 UO9),22.31,0.091739206,0.205135101,Earth,30523.18914,16550551.61,FALSE
2423100,423100 (2004 BX1),18.45,0.542693946,1.213500554,Earth,138411.6793,62399379.83,FALSE
